slug,intro,history,architecture,ktitor_text,art_frescoes,interesting_facts,sources_json
radosin,Manastir Radošin je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Radošin obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Radošin prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Radošin čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Radošin obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Radošin predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
veluce,Manastir Veluće je značajna pravoslavna svetinja i duhovno mesto u oblasti Rasina.,"Istorijat Manastir Veluće obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Veluće prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Veluće čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Veluće obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Veluće predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
naupara-stari,Manastir Naupara (stari) je značajna pravoslavna svetinja i duhovno mesto u oblasti Rasina.,"Istorijat Manastir Naupara (stari) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Naupara (stari) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Naupara (stari) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Naupara (stari) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Naupara (stari) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sveti-stefan-lipovac,Manastir Sveti Stefan (Lipovac) je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Sveti Stefan (Lipovac) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sveti Stefan (Lipovac) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sveti Stefan (Lipovac) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sveti Stefan (Lipovac) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sveti Stefan (Lipovac) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sv-trojica-gornjak,Manastir Sv. Trojica (Gornjak) je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Sv. Trojica (Gornjak) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sv. Trojica (Gornjak) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sv. Trojica (Gornjak) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sv. Trojica (Gornjak) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sv. Trojica (Gornjak) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
jermencic,Manastir Jermenčić je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugoistočna Srbija.,"Istorijat Manastir Jermenčić obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Jermenčić prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Jermenčić čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Jermenčić obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Jermenčić predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
krepicevac,Manastir Krepičevac je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Krepičevac obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Krepičevac prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Krepičevac čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Krepičevac obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Krepičevac predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
pavlovica,Manastir Pavlovica je značajna pravoslavna svetinja i duhovno mesto u oblasti Srem.,"Istorijat Manastir Pavlovica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Pavlovica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Pavlovica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Pavlovica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Pavlovica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
kovilj-gornji,Manastir Kovilj (Gornji) je značajna pravoslavna svetinja i duhovno mesto u oblasti Vojvodina.,"Istorijat Manastir Kovilj (Gornji) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Kovilj (Gornji) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Kovilj (Gornji) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Kovilj (Gornji) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Kovilj (Gornji) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
vavedenje-sremcica,Manastir Vavedenje (Sremčica) je značajna pravoslavna svetinja i duhovno mesto u oblasti Beograd.,"Istorijat Manastir Vavedenje (Sremčica) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Vavedenje (Sremčica) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Vavedenje (Sremčica) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Vavedenje (Sremčica) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Vavedenje (Sremčica) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
mileticevo,Manastir Miletićevo je značajna pravoslavna svetinja i duhovno mesto u oblasti Vojvodina.,"Istorijat Manastir Miletićevo obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Miletićevo prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Miletićevo čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Miletićevo obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Miletićevo predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
kucajna,Manastir Kučajna je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Kučajna obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Kučajna prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Kučajna čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Kučajna obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Kučajna predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
jermencic-ravniste,Manastir Jermenčić (Ravnište) je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugoistočna Srbija.,"Istorijat Manastir Jermenčić (Ravnište) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Jermenčić (Ravnište) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Jermenčić (Ravnište) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Jermenčić (Ravnište) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Jermenčić (Ravnište) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sv-arhangeli-resava,Manastir Sv. Arhangeli (Resava) je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Sv. Arhangeli (Resava) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sv. Arhangeli (Resava) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sv. Arhangeli (Resava) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sv. Arhangeli (Resava) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sv. Arhangeli (Resava) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
drenca,Manastir Drenča je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Drenča obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Drenča prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Drenča čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Drenča obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Drenča predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
rudenica,Manastir Rudenica je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Rudenica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Rudenica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Rudenica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Rudenica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Rudenica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
